smiles,canonical_smiles,curation_status
CC(C)P(c1cccc2cccc(B3c4ccccc4-c4ccccc43)c12)C(C)C,CC(C)P(c1cccc2cccc(B3c4ccccc4-c4ccccc43)c12)C(C)C,keep
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)c(C)c1,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)c(C)c1,keep
c1ccc(B(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,c1ccc(B(c2ccccc2)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)cc1,keep
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)c23)c(C)c1,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)c23)c(C)c1,keep
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2ccc3c4c(ccc(P(c5ccccc5)c5ccccc5)c24)CC3)c(C)c1,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2ccc3c4c(ccc(P(c5ccccc5)c5ccccc5)c24)CC3)c(C)c1,keep
c1ccc(B(c2ccccc2)c2ccc3c4c(ccc(P(c5ccccc5)c5ccccc5)c24)CC3)cc1,c1ccc(B(c2ccccc2)c2ccc3c4c(ccc(P(c5ccccc5)c5ccccc5)c24)CC3)cc1,keep
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2ccc3c4c(ccc(P(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)c24)CC3)c(C)c1,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2ccc3c4c(ccc(P(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)c24)CC3)c(C)c1,keep
CCC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CCC(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep
CCC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CCC(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep
CC(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CC(CB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,keep
CC(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CC(CB(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,keep
c1ccc(P(c2ccccc2)c2ccccc2B2Oc3ccccc3O2)cc1,c1ccc(P(c2ccccc2)c2ccccc2B2Oc3ccccc3O2)cc1,keep
Cc1cc(C)c(P(c2ccccc2B2Oc3ccccc3O2)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(c2ccccc2B2Oc3ccccc3O2)c2c(C)cc(C)cc2C)c(C)c1,keep
Cc1cc(C)c(P(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,keep
Cc1cc(C)c(P(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(P(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,keep
Fc1c(F)c(F)c(B(C(=C(c2ccccc2)P(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,Fc1c(F)c(F)c(B(C(=C(c2ccccc2)P(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,keep
Clc1c(Cl)c(Cl)c(B(C(=C(c2ccccc2)P(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(C(=C(c2ccccc2)P(c2ccccc2)c2ccccc2)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,keep
Cc1cc(C)c(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,keep
Cc1cc(C)c(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,keep
Cc1cc(C)c(B2c3cccc4cccc(c34)P2c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)c(B2c3cccc4cccc(c34)P2c2c(C)cc(C)cc2C)c(C)c1,keep
c1ccc(B2c3cccc4cccc(c34)P2c2ccccc2)cc1,c1ccc(B2c3cccc4cccc(c34)P2c2ccccc2)cc1,keep
Cc1ccc(B2c3cccc4cccc(c34)P2c2ccc(C)cc2C)c(C)c1,Cc1ccc(B2c3cccc4cccc(c34)P2c2ccc(C)cc2C)c(C)c1,keep
Fc1c(F)c(F)c(B(C(=Cc2ccccc2)P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,Fc1c(F)c(F)c(B(C(=Cc2ccccc2)P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,keep
